ticker,username,post_text,comments,likes,views
CALEB,Chesa,"Sorry to the people who hate Caleb's EN voice because y'all missing out, the rasp in his voice did things to me",72,4300,0
CALEB,ERI ‧₊˚,i live for zayne caleb beef,48,33000,0
CALEB,𝓐.,#XAVIER x #CALEB — choose one.,1,2400,0
CALEB,Hira ෆ,#XAVIER & #CALEB : obsessed with her.,9,4400,0
BEAN,bean,"#LoveandDeepspace #セイヤ #Xavier #沈星回 
misty silhouette",37,18000,0
BEAN,chefderek.eth,Every $UFD bean counter soon:,13,157,0
BEAN,tastytrade,Join the trading platform that helps you unleash your market smarts.,0,97,0
BEAN,Isha,"Atishi community mein chaos kyun create kar rahi hai? 

#Atishi #CommunityStrife #Division #delhideservesbetter",0,3,0
Hana,min hana⁷,Who caught your eye first in bts and who is your bias now?,905,2700,0
Hana,SHANKI,Kairo ni kama hana ata stress,45,756,0
Hana,ⵀⴰⵏⴰ Hana,"ⴰⵙⴳⴳⴰⵙ ⴰⵎⴰⵢⵏⵓ ⴰⵎⴱⴰⵔⴽⵉ 2975

#HappyAmazighNewYear2975",24,515,0
Hana,حنان عيسى 𓂆,"تعود للحياة .. زي غزة 
""ظنّوا استشهادها، فإذا بها تفتح عينيها""
فرحة طواقم الدفاع المدني بإنقاذ طفلة من تحت ركام منزل قصفه الاحتلال بمدينة غزة

#مقاطعه_الكافيهات__المشهوره #نادر_شوقي_عدو_الاهلي  #عليا_الطلاق_ماابراهيم لوس انجلوس #وقف_اطلاق_النار عمان",4,142,0
Hana,min hana⁷,Who caught your eye first in bts and who is your bias now?,905,2700,0
Hana,حنان عيسى 𓂆,"تعود للحياة .. زي غزة 
""ظنّوا استشهادها، فإذا بها تفتح عينيها""
فرحة طواقم الدفاع المدني بإنقاذ طفلة من تحت ركام منزل قصفه الاحتلال بمدينة غزة

#مقاطعه_الكافيهات__المشهوره #نادر_شوقي_عدو_الاهلي  #عليا_الطلاق_ماابراهيم لوس انجلوس #وقف_اطلاق_النار عمان",4,142,0
Hana,hana,#cihal: sen hiç sevgi görmedin mi? hiç ilgi görmedin mi? hiç mi sarıp sarmalamadılar seni?,11,413,0
Hana,ⵀⴰⵏⴰ Hana,"ⴰⵙⴳⴳⴰⵙ ⴰⵎⴰⵢⵏⵓ ⴰⵎⴱⴰⵔⴽⵉ 2975

#HappyAmazighNewYear2975",24,515,0
Weapon,Daniel Wade,The Charger do have 1 weapon for sure.,21,253,0
Weapon,The Tank,Another arsonist video making the rounds. I think the psyops the government is doing trying to get the focus on arsonist instead of their direct energy weapon.,180,4200,0
Weapon,Hernán Jaramillo,No need for nukes or economic sanctions when you have the ultimate subjugation weapon the USD,1,10,0
Weapon,MAGA’s “Weapon X” v2.0,I love this song!!,2,9,0
